epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.951,1.59885,2.84873,1.56409,0.00341,0.9967,0.4943,0.24472,1.37333,3.47217,1.45037,0.00046641,0.00046641,0.00046641
2,625.269,1.46044,2.17535,1.3779,0.61684,0.8742,0.65117,0.34835,1.58208,2.58731,1.62147,0.000924077,0.000924077,0.000924077
3,915.238,1.53558,1.80096,1.36664,0.5175,0.72093,0.66461,0.27682,1.9385,10.5486,2.31534,0.00136288,0.00136288,0.00136288
4,1207.22,1.47237,1.63509,1.34347,0.91356,0.58287,0.66132,0.33498,1.57833,3.36834,1.5727,0.00134412,0.00134412,0.00134412
5,1497.92,1.45631,1.40841,1.32041,0.91723,0.87457,0.93087,0.50462,1.50566,1.47536,1.51186,0.00131582,0.00131582,0.00131582
6,1790.44,1.45313,1.24557,1.29528,0.91854,0.8728,0.9548,0.51859,1.62646,1.20724,1.5839,0.00128753,0.00128753,0.00128753
7,2074.41,1.43273,1.15739,1.26972,0.93884,0.96426,0.98176,0.5632,1.48873,0.91228,1.48734,0.00125923,0.00125923,0.00125923
8,2365.76,1.38359,1.10701,1.25961,0.90398,0.9529,0.92036,0.53073,1.42351,1.28677,1.4235,0.00123094,0.00123094,0.00123094
9,2683.59,1.41861,1.07141,1.27864,0.90243,0.88335,0.93748,0.53179,1.46487,0.99633,1.42414,0.00120265,0.00120265,0.00120265
10,2995.5,1.39982,1.03116,1.24477,0.95602,0.90511,0.97123,0.56243,1.42939,0.96557,1.43104,0.00117435,0.00117435,0.00117435
11,3304.71,1.39062,0.96088,1.23457,0.97282,0.97697,0.98967,0.55826,1.49537,0.72969,1.45313,0.00114606,0.00114606,0.00114606
12,3638.6,1.4098,0.99756,1.26822,0.97377,0.96958,0.98722,0.55041,1.47657,0.72643,1.45056,0.00111776,0.00111776,0.00111776
13,3971.32,1.38284,0.94597,1.24461,0.95661,0.95941,0.97646,0.56859,1.42171,0.69093,1.39654,0.00108947,0.00108947,0.00108947
14,4294.81,1.38086,0.904,1.25117,0.95592,0.93289,0.99146,0.58729,1.43284,0.66211,1.40509,0.00106118,0.00106118,0.00106118
15,4625.71,1.41507,0.91842,1.24968,0.8893,0.93391,0.94655,0.53547,1.58446,0.75663,1.49791,0.00103288,0.00103288,0.00103288
16,4949.32,1.34384,0.86651,1.22706,0.9463,0.88249,0.9844,0.59083,1.416,0.69717,1.39651,0.00100459,0.00100459,0.00100459
17,5263.29,1.33589,0.85937,1.23254,0.93025,0.90151,0.95952,0.55584,1.47847,0.73553,1.43548,0.000976293,0.000976293,0.000976293
18,5581.67,1.37792,0.86077,1.24051,0.95091,0.93718,0.97856,0.56788,1.50526,0.66747,1.44539,0.000947999,0.000947999,0.000947999
19,5913.74,1.35767,0.8618,1.23782,0.91975,0.9529,0.96882,0.57657,1.45205,0.68342,1.41031,0.000919704,0.000919704,0.000919704
20,6258.08,1.35068,0.83151,1.23244,0.9559,0.96665,0.99078,0.59022,1.41087,0.60025,1.38214,0.00089141,0.00089141,0.00089141
21,6601.73,1.3321,0.82385,1.23067,0.97494,0.96869,0.98814,0.5686,1.43443,0.6508,1.40366,0.000863116,0.000863116,0.000863116
22,6934.39,1.3341,0.78198,1.23122,0.96245,0.96037,0.97721,0.57441,1.43662,0.60555,1.40634,0.000834822,0.000834822,0.000834822
23,7273.31,1.32868,0.80769,1.23849,0.97808,0.97759,0.99116,0.58498,1.44591,0.58622,1.40364,0.000806528,0.000806528,0.000806528
24,7618.46,1.30891,0.78312,1.2106,0.95509,0.96709,0.98481,0.58603,1.43683,0.54863,1.39361,0.000778233,0.000778233,0.000778233
25,7967.78,1.31363,0.78667,1.21873,0.95225,0.96977,0.99156,0.60626,1.39719,0.58373,1.38251,0.000749939,0.000749939,0.000749939
26,8340.1,1.30445,0.77955,1.2204,0.9535,0.97637,0.98832,0.57255,1.46412,0.58379,1.42144,0.000721645,0.000721645,0.000721645
27,8688.28,1.32337,0.78893,1.22351,0.98179,0.94889,0.99255,0.592,1.42325,0.5726,1.39684,0.000693351,0.000693351,0.000693351
28,9040.64,1.31368,0.77767,1.22873,0.95509,0.97426,0.98567,0.58747,1.4042,0.54761,1.38399,0.000665057,0.000665057,0.000665057
29,9422.76,1.32834,0.77863,1.22219,0.9783,0.98259,0.98871,0.61152,1.40252,0.52969,1.37156,0.000636762,0.000636762,0.000636762
30,9770.11,1.32116,0.74582,1.23088,0.98498,0.98357,0.98683,0.60565,1.42287,0.53336,1.3945,0.000608468,0.000608468,0.000608468
31,10115.9,1.32896,0.783,1.22425,0.97777,0.97287,0.98592,0.59506,1.41826,0.549,1.38975,0.000580174,0.000580174,0.000580174
32,10464.8,1.29169,0.7387,1.21558,0.98481,0.98274,0.99015,0.59969,1.42194,0.53142,1.38547,0.00055188,0.00055188,0.00055188
33,10785.6,1.29929,0.74716,1.21184,0.97122,0.95765,0.99081,0.60422,1.37719,0.52634,1.36364,0.000523586,0.000523586,0.000523586
34,11141.9,1.28776,0.74136,1.2252,0.97991,0.97867,0.98959,0.60506,1.38835,0.529,1.37441,0.000495291,0.000495291,0.000495291
35,11489.1,1.29599,0.75239,1.22399,0.97605,0.96575,0.98311,0.58296,1.4129,0.53034,1.37678,0.000466997,0.000466997,0.000466997
36,11840.6,1.27904,0.73209,1.2194,0.96612,0.962,0.96739,0.57448,1.42181,0.55747,1.38855,0.000438703,0.000438703,0.000438703
37,12194.5,1.28078,0.70051,1.21256,0.97311,0.95488,0.9905,0.61721,1.39082,0.56245,1.36963,0.000410409,0.000410409,0.000410409
38,12557.6,1.28725,0.71525,1.21742,0.98248,0.97458,0.98961,0.61243,1.37345,0.49163,1.36025,0.000382115,0.000382115,0.000382115
39,12901.9,1.28401,0.69075,1.20269,0.97661,0.96804,0.99099,0.60928,1.37655,0.51083,1.36399,0.00035382,0.00035382,0.00035382
40,13240.3,1.2728,0.72417,1.19968,0.97261,0.97803,0.98985,0.60997,1.35393,0.51488,1.34851,0.000325526,0.000325526,0.000325526
41,13580.4,1.2645,0.50758,1.26865,0.97496,0.97308,0.98857,0.61969,1.35469,0.49988,1.34551,0.000297232,0.000297232,0.000297232
42,13914.2,1.26307,0.50585,1.25824,0.98686,0.97252,0.99025,0.62448,1.34825,0.50125,1.34542,0.000268938,0.000268938,0.000268938
43,14257.9,1.25292,0.48781,1.25762,0.97638,0.96977,0.9942,0.6258,1.35209,0.51078,1.34523,0.000240644,0.000240644,0.000240644
44,14596.6,1.25491,0.48608,1.26466,0.98294,0.97733,0.99403,0.6148,1.36376,0.49506,1.35891,0.000212349,0.000212349,0.000212349
45,14926.6,1.24457,0.47775,1.24031,0.98124,0.96685,0.99334,0.62764,1.34337,0.49249,1.34603,0.000184055,0.000184055,0.000184055
46,15258.8,1.23095,0.46488,1.24375,0.97714,0.9687,0.99334,0.61825,1.36935,0.49771,1.36523,0.000155761,0.000155761,0.000155761
47,15594,1.22986,0.46222,1.23545,0.98366,0.96487,0.99355,0.61846,1.36296,0.48777,1.35805,0.000127467,0.000127467,0.000127467
48,15932.5,1.21094,0.45322,1.23973,0.97429,0.97466,0.99355,0.62299,1.36861,0.49718,1.3592,9.91726e-05,9.91726e-05,9.91726e-05
49,16266.9,1.22602,0.4485,1.25026,0.9804,0.96767,0.99325,0.62165,1.34692,0.48589,1.34252,7.08784e-05,7.08784e-05,7.08784e-05
50,16590,1.21436,0.44943,1.23284,0.97891,0.97254,0.99289,0.6295,1.34767,0.48435,1.34273,4.25842e-05,4.25842e-05,4.25842e-05
